genome_id,chromosome,gene_name,mutation_type,mutation_position,mutation_effect,allele_frequency,genetic_disorder,dna_sequence,mutation_date
51,8,a,deletion,916395,silent,0.94,mutation types,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,8/3/2014
52,9,morbi,deletion,607133,missense,0.92,mutation types,dapibus dolor vel est donec odio justo sollicitudin ut suscipit,9/24/2004
53,1,at,insertion,224937,missense,0.56,mutation types,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,2/10/2021
54,5,velit,insertion,499652,silent,0.25,mutation types,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,1/27/2012
55,7,morbi,insertion,762704,silent,0.45,mutation types,urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,12/8/2007
56,7,fermentum,deletion,49580,nonsense,0.3,mutation types,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,10/22/2016
57,5,massa,substitution,252129,missense,0.21,mutation types,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,7/14/2015
58,6,sapien,substitution,215547,silent,0.11,mutation types,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,11/17/2010
59,5,praesent,substitution,479870,nonsense,0.11,mutation types,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,8/5/2004
60,6,dis,substitution,104655,nonsense,0.97,mutation types,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,8/23/2008
61,10,est,substitution,104423,missense,0.44,mutation types,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,1/26/2018
62,1,dolor,deletion,765417,silent,0.72,mutation types,potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,8/27/2003
63,4,id,deletion,347477,nonsense,0.92,mutation types,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,1/22/2001
64,2,pellentesque,deletion,169919,missense,0.75,mutation types,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,10/31/2005
65,10,sit,substitution,522953,missense,0.38,mutation types,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,3/16/2012
66,9,sit,substitution,746514,missense,0.75,mutation types,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,8/26/2001
67,9,pede,substitution,220232,nonsense,0.43,mutation types,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,12/21/2009
68,3,maecenas,substitution,755631,silent,0.85,mutation types,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,3/27/2005
69,6,facilisi,deletion,993061,nonsense,0.15,mutation types,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,10/4/2013
70,9,sit,deletion,384448,missense,0.42,mutation types,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,8/30/2016
71,5,consequat,substitution,663180,silent,0.11,mutation types,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,6/9/2004
72,1,in,substitution,859073,missense,0.48,mutation types,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,10/18/2010
73,6,vivamus,insertion,611770,nonsense,0.08,mutation types,quisque arcu libero rutrum ac lobortis vel dapibus at diam,3/6/2020
74,2,ligula,substitution,274045,nonsense,0.39,mutation types,dui vel nisl duis ac nibh fusce lacus purus aliquet at,7/22/2001
75,9,nisi,substitution,988679,nonsense,0.05,mutation types,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,5/27/2000
76,10,vel,substitution,209590,missense,0.02,mutation types,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,1/1/2001
77,8,blandit,substitution,847243,nonsense,0.53,mutation types,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,4/27/2008
78,3,tempor,insertion,60641,missense,0.86,mutation types,ligula vehicula consequat morbi a ipsum integer a nibh in,6/25/2008
79,5,nisi,deletion,923092,nonsense,0.23,mutation types,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,9/12/2008
80,10,nulla,insertion,165682,silent,0.08,mutation types,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,4/28/2016
81,1,maecenas,deletion,811458,silent,0.97,mutation types,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,1/30/2005
82,8,id,insertion,776132,missense,0.16,mutation types,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet,1/23/2019
83,10,donec,insertion,473682,silent,0.91,mutation types,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,11/16/2018
84,9,ligula,insertion,326341,nonsense,0.2,mutation types,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,7/17/2019
85,1,quisque,deletion,476545,missense,0.96,mutation types,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,1/24/2004
86,2,convallis,insertion,895882,silent,0.34,mutation types,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,1/3/2002
87,4,interdum,substitution,59590,missense,0.35,mutation types,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,1/16/2019
88,3,hac,insertion,991114,missense,0.51,mutation types,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,1/2/2005
89,8,vestibulum,deletion,322804,nonsense,0.68,mutation types,ut volutpat sapien arcu sed augue aliquam erat volutpat in,1/3/2010
90,2,felis,insertion,543844,nonsense,0.13,mutation types,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,11/10/2008
91,3,nisl,substitution,348458,silent,0.9,mutation types,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,3/1/2017
92,8,in,insertion,673560,silent,0.19,mutation types,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,3/10/2021
93,1,sodales,deletion,588979,nonsense,0.35,mutation types,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,10/23/2003
94,10,vestibulum,substitution,671439,nonsense,0.13,mutation types,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,6/11/2009
95,7,at,insertion,434978,missense,0.16,mutation types,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,7/11/2011
96,2,aliquam,insertion,578483,silent,0.12,mutation types,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,8/14/2019
97,8,est,deletion,250498,nonsense,0.3,mutation types,nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,7/5/2007
98,8,nisi,insertion,663763,missense,0.67,mutation types,ut at dolor quis odio consequat varius integer ac leo pellentesque,7/24/2021
99,7,luctus,deletion,719637,silent,0.5,mutation types,in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,11/10/2009
100,1,et,insertion,300008,missense,0.28,mutation types,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,4/23/2010
